epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.77068,3.11867,3.59129,4.17426,0.00326,0.97826,0.0048,0.00111,2.98354,3.8358,4.15533,0.000652482,0.000652482,0.000652482
2,12.4944,2.81315,2.95807,3.59506,0.22268,0.17935,0.10766,0.01723,3.00283,3.10437,3.80413,0.00131044,0.00131044,0.00131044
3,18.1311,2.59643,2.39517,3.2214,0.02139,0.33152,0.01175,0.00296,4.0499,11.9898,11.0739,0.0019596,0.0019596,0.0019596
4,23.751,2.31013,2.11423,2.97465,0.49282,0.36957,0.33497,0.08917,2.63463,2.91215,3.65322,0.0019604,0.0019604,0.0019604
5,29.3665,2.03925,1.77747,2.76073,0.3011,0.28804,0.16436,0.06458,2.6505,6.57295,3.86493,0.0019472,0.0019472,0.0019472
6,34.9886,1.86011,1.59503,2.56474,0.78411,0.69089,0.8042,0.33537,1.87847,2.37112,2.70284,0.001934,0.001934,0.001934
7,40.5972,1.6655,1.38225,2.38648,0.68174,0.72178,0.73674,0.14891,2.61572,1.72353,2.93343,0.0019208,0.0019208,0.0019208
8,46.22,1.58233,1.29656,2.24411,0.92583,0.88195,0.95728,0.56943,1.52089,1.22878,2.16461,0.0019076,0.0019076,0.0019076
9,51.8614,1.51403,1.17425,2.16564,0.78525,0.94022,0.91689,0.53536,1.45577,1.12239,2.03711,0.0018944,0.0018944,0.0018944
10,57.48,1.37667,1.09159,2.04086,0.94806,0.89287,0.96855,0.44151,1.87412,1.18629,2.32358,0.0018812,0.0018812,0.0018812
11,63.0879,1.29015,1.00645,1.92621,0.99903,1,0.995,0.54626,1.40541,0.77467,2.01828,0.001868,0.001868,0.001868
12,68.7093,1.27381,0.95755,1.89234,0.99171,0.875,0.98508,0.58135,1.52849,0.86495,2.0608,0.0018548,0.0018548,0.0018548
13,74.3465,1.15772,0.94583,1.7804,0.98824,0.9837,0.99372,0.58624,1.42089,0.73021,1.90547,0.0018416,0.0018416,0.0018416
