epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.2288,3.11751,3.45212,4.08443,0.00328,0.9837,0.00437,0.00093,3.14861,3.39926,4.28028,0.000652482,0.000652482,0.000652482
2,45.5431,2.78442,2.74359,3.52,0.02214,0.375,0.01519,0.00328,3.47665,12.5772,6.2772,0.00131044,0.00131044,0.00131044
3,67.7446,2.60161,2.25066,3.20872,0,0,0,0,1.98657,13.9763,9.54249,0.0019596,0.0019596,0.0019596
4,89.966,2.42085,2.05682,3.06181,0.03246,0.54348,0.02131,0.0042,3.3561,19.9496,3.82092,0.0019604,0.0019604,0.0019604
5,112.238,2.1756,1.83777,2.84439,0.54561,0.09783,0.12463,0.05725,3.07294,4.28866,3.65318,0.0019472,0.0019472,0.0019472
6,139.626,2.03883,1.59588,2.7102,0.79045,0.52174,0.71313,0.3174,2.04442,2.70442,2.9988,0.001934,0.001934,0.001934
7,167.1,1.85055,1.43292,2.55992,0.41476,0.46606,0.37748,0.11299,2.60455,2.53292,3.14959,0.0019208,0.0019208,0.0019208
8,194.361,1.76518,1.39502,2.41566,0.78437,0.79078,0.80154,0.37182,1.86494,1.79664,2.57672,0.0019076,0.0019076,0.0019076
9,221.709,1.71688,1.2577,2.3442,0.83811,0.78261,0.88497,0.5052,1.57699,1.37671,2.33046,0.0018944,0.0018944,0.0018944
10,249.145,1.61115,1.23304,2.2339,0.18869,0.49548,0.12918,0.03586,2.76525,3.83259,4.23597,0.0018812,0.0018812,0.0018812
11,276.242,1.52807,1.13066,2.13023,0.83939,0.71012,0.80338,0.36186,1.99393,1.41913,2.65165,0.001868,0.001868,0.001868
12,303.615,1.4302,1.06164,2.03001,0.7759,0.90217,0.90546,0.53512,1.43599,1.19548,1.99652,0.0018548,0.0018548,0.0018548
13,330.938,1.34634,1.09496,1.94689,0.94557,0.94408,0.98224,0.66408,1.1493,0.72997,1.67089,0.0018416,0.0018416,0.0018416
14,358.356,1.30804,0.95656,1.90965,0.90194,0.97826,0.97903,0.5993,1.27776,0.90758,1.77688,0.0018284,0.0018284,0.0018284
15,385.666,1.21856,0.94043,1.84092,0.96623,0.93478,0.98298,0.5289,1.53493,1.12123,2.1746,0.0018152,0.0018152,0.0018152
16,412.995,1.19899,0.95041,1.81299,0.97762,0.94966,0.99036,0.69034,1.07991,0.71488,1.62911,0.001802,0.001802,0.001802
17,440.581,1.22913,0.8678,1.80111,0.95992,0.91123,0.97503,0.50609,1.56518,0.86095,2.21003,0.0017888,0.0017888,0.0017888
18,467.835,1.22931,0.84831,1.79123,1,0.97719,0.99478,0.55231,1.4446,0.8075,1.91294,0.0017756,0.0017756,0.0017756
19,495.027,1.17374,0.88424,1.74904,0.71361,0.79891,0.84686,0.54751,1.16713,1.12665,1.84105,0.0017624,0.0017624,0.0017624
20,522.54,1.12909,0.80906,1.71369,0.99451,0.98407,0.99495,0.68601,1.04093,0.70476,1.53975,0.0017492,0.0017492,0.0017492
21,549.958,1.08178,0.78996,1.66635,0.93799,0.9865,0.99279,0.54502,1.48235,0.7227,2.03718,0.001736,0.001736,0.001736
22,577.436,1.07214,0.78467,1.64596,0.99716,1,0.995,0.62081,1.2792,0.65544,1.82205,0.0017228,0.0017228,0.0017228
23,604.826,1.00918,0.73336,1.58002,0.99398,1,0.99468,0.64673,1.17301,0.61783,1.70957,0.0017096,0.0017096,0.0017096
24,632.314,1.04979,0.74455,1.58281,0.99853,1,0.995,0.66054,1.08729,0.54416,1.61173,0.0016964,0.0016964,0.0016964
25,659.718,0.9481,0.66027,1.5205,0.99919,1,0.995,0.63668,1.26772,0.53535,1.7533,0.0016832,0.0016832,0.0016832
26,687.241,0.93793,0.65735,1.493,0.99202,0.99457,0.99495,0.53467,1.46327,0.69788,2.15123,0.00167,0.00167,0.00167
27,714.706,0.96111,0.64021,1.52817,0.80947,0.93478,0.93083,0.57686,1.198,0.91494,1.69802,0.0016568,0.0016568,0.0016568
28,742.27,0.98273,0.65178,1.52227,0.97177,1,0.99478,0.65911,1.16313,0.64637,1.77915,0.0016436,0.0016436,0.0016436
29,769.824,0.9057,0.62667,1.46502,0.99914,1,0.995,0.63344,1.23791,0.54382,1.8274,0.0016304,0.0016304,0.0016304
30,797.328,0.88776,0.60306,1.4467,0.9995,1,0.995,0.63125,1.27074,0.523,1.83718,0.0016172,0.0016172,0.0016172
31,824.719,0.90424,0.61366,1.45185,0.99897,1,0.995,0.56901,1.42763,0.68596,2.38481,0.001604,0.001604,0.001604
32,852.17,0.93113,0.67983,1.47925,0.99934,1,0.995,0.62903,1.23268,0.54361,1.82628,0.0015908,0.0015908,0.0015908
33,879.516,0.87977,0.66289,1.44173,0.99649,1,0.995,0.6678,1.15831,0.51938,1.7349,0.0015776,0.0015776,0.0015776
34,906.853,0.87476,0.58578,1.43666,0.99941,1,0.995,0.60818,1.26978,0.54386,2.07418,0.0015644,0.0015644,0.0015644
35,934.296,0.87748,0.5804,1.42319,0.99963,1,0.995,0.5797,1.36409,0.53085,2.24638,0.0015512,0.0015512,0.0015512
36,961.919,0.85716,0.56735,1.39235,0.99953,1,0.995,0.6665,1.17618,0.49056,1.78182,0.001538,0.001538,0.001538
37,989.567,0.86905,0.55973,1.40573,0.99958,1,0.995,0.69092,1.12893,0.48786,1.63635,0.0015248,0.0015248,0.0015248
38,1017.25,0.85978,0.56146,1.40019,0.99866,1,0.995,0.5822,1.34417,0.62878,2.267,0.0015116,0.0015116,0.0015116
39,1044.6,0.8198,0.54274,1.36652,0.98912,1,0.995,0.62791,1.31474,0.55468,2.12584,0.0014984,0.0014984,0.0014984
40,1072.05,0.81367,0.53738,1.36636,0.99964,1,0.995,0.60178,1.3296,0.54787,2.29292,0.0014852,0.0014852,0.0014852
41,1099.59,0.82016,0.52848,1.3688,0.99958,1,0.995,0.6567,1.22788,0.48568,1.97415,0.001472,0.001472,0.001472
42,1127.15,0.78336,0.53039,1.33526,0.99957,1,0.995,0.66405,1.1515,0.47749,1.86812,0.0014588,0.0014588,0.0014588
43,1154.63,0.80366,0.52054,1.33736,0.99881,1,0.995,0.67555,1.21042,0.52335,1.89453,0.0014456,0.0014456,0.0014456
