epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.6851,1.25644,2.49745,6.28147,1.96238,0.7521,0.91576,0.91293,0.56297,0.59576,0.71613,0.63281,0.20148,1.50589,10.2204,3.33176,3.10397,0.0801787,5.96429e-05,5.96429e-05
2,176.176,1.02537,1.93013,3.81841,1.71735,0.85471,0.85206,0.91891,0.52757,0.74053,0.74876,0.76659,0.35531,1.41415,5.51494,3.52815,2.88345,0.0602384,0.000119347,0.000119347
3,263.928,1.00802,1.85821,3.49973,1.71203,0.89862,0.87444,0.93847,0.69323,0.89862,0.87444,0.93492,0.54077,1.07231,2.02815,2.95432,2.15357,0.0402978,0.000178754,0.000178754
4,351.911,0.97876,1.77595,3.26685,1.67314,0.9435,0.88665,0.93236,0.55526,0.91865,0.86524,0.89033,0.45033,1.3109,2.76131,3.95132,2.71823,0.0203569,0.000237864,0.000237864
5,439.551,0.96914,1.72817,3.165,1.66606,0.89319,0.9273,0.96784,0.64077,0.89319,0.9273,0.96784,0.63894,1.13044,1.23812,3.00707,2.44532,0.000415724,0.000296676,0.000296676
6,527.297,0.94589,1.63646,3.0149,1.63835,0.9523,0.97116,0.98891,0.66532,0.9523,0.97116,0.98889,0.59947,1.20218,2.25228,2.6249,2.50662,0.000296288,0.000296288,0.000296288
7,614.617,0.92824,1.5803,2.87113,1.62853,0.97918,0.92007,0.96391,0.64634,0.98468,0.92505,0.97303,0.65313,1.24193,1.10083,2.48967,2.60836,0.000295545,0.000295545,0.000295545
8,702.182,0.90525,1.57101,2.7358,1.61711,0.92633,0.90299,0.96981,0.6051,0.92633,0.90299,0.96934,0.58509,1.32184,1.22566,2.83766,2.8434,0.000294802,0.000294802,0.000294802
9,789.707,0.8822,1.54002,2.70233,1.59527,0.95586,0.88614,0.9613,0.60953,0.95586,0.88614,0.96773,0.63243,1.31695,0.4135,2.66173,2.44662,0.00029406,0.00029406,0.00029406
10,877.284,0.85488,1.52339,2.63334,1.57387,0.8981,0.87313,0.97285,0.68398,0.89661,0.87405,0.97491,0.69568,1.00965,0.9595,2.60359,2.33864,0.000293317,0.000293317,0.000293317
11,965.576,0.84966,1.48485,2.47067,1.55954,0.97639,0.92637,0.9913,0.68027,0.97639,0.92637,0.9913,0.6754,1.13224,1.06034,2.18955,2.48771,0.000292575,0.000292575,0.000292575
12,1053.19,0.86112,1.5004,2.51968,1.58418,0.87628,0.88806,0.95857,0.67004,0.87628,0.88806,0.95857,0.66822,1.14332,0.88097,2.85224,2.33572,0.000291833,0.000291833,0.000291833
13,1141.42,0.85334,1.46282,2.41639,1.56312,0.82718,0.90966,0.96018,0.57213,0.88928,0.85075,0.96607,0.66811,1.34527,0.87466,2.96628,2.77384,0.00029109,0.00029109,0.00029109
14,1229.15,0.85261,1.47897,2.4508,1.55698,0.88889,0.95109,0.92337,0.63224,0.88889,0.95109,0.92337,0.59974,1.16755,1.05192,3.01755,2.36622,0.000290347,0.000290347,0.000290347
15,1316.91,0.8089,1.43428,2.40339,1.54875,0.96216,0.97512,0.98645,0.64562,0.96216,0.97512,0.98645,0.67464,1.20004,0.42441,2.12086,2.71462,0.000289605,0.000289605,0.000289605
16,1404.69,0.81637,1.44476,2.32872,1.54718,0.92121,0.94147,0.99357,0.69468,0.92121,0.94147,0.99357,0.70582,1.11019,0.6829,2.21438,2.42996,0.000288862,0.000288862,0.000288862
